{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.03

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.17

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 64, 'use_lib': False, 'use_raw': False},0.0525

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 64, 'use_lib': False, 'use_raw': True},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 64, 'use_lib': True, 'use_raw': False},0.125

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 64, 'use_lib': True, 'use_raw': True},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 128, 'use_lib': False, 'use_raw': False},0.0475

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.09

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 1, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.05

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.17

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 64, 'use_lib': False, 'use_raw': False},0.06

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 64, 'use_lib': False, 'use_raw': True},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 64, 'use_lib': True, 'use_raw': False},0.1525

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 64, 'use_lib': True, 'use_raw': True},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': False},0.0775

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.105

{'histograms': True, 'lbptype': 'default', 'neighbors': 16, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

{'histograms': True, 'lbptype': 'uniform', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.025

{'histograms': True, 'lbptype': 'uniform', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'uniform', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.08

{'histograms': True, 'lbptype': 'uniform', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

